Text,Line
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,ŋeš-keš₂-ra₂
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,lum-ma-gin₇-dug₃\gen\abs
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,gu₂-eden-na-ka\l1
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,mu-na-ni-du₃
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,en-mete-na-ka
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,mu dug₃-ga-ni\term
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,{d}nin-ŋir₂-su₂-ke₄
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,da-ri₂-še₃
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,ŋeštug₂\abs na-gub
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,en-mete-na
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,x x x
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lil₂-ra\gen\dat en-mete-na ensi₂ lagaš{ki}\gen a₂\abs šum₂-ma {d}en-lilₓ(E₂)\gen ga zid\abs gu₇-a {d}nin-hur-saŋ-ka šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka-ke₄ dumu tud-da {d}lugal-urub{ki}-ka dumu en-an-na-tum₂ ensi₂ lagaš{ki}-ka-ke₄ ud {d}nin-ŋir₂-su₂-ke₄ ŋir₂-nun-ta šag₄ kug-ga-ne₂\n5edat ba-pad₃-da-a\l1 e₂-ninnu-ta nam-a-ni\abs mu-na-tar-ra-a\l1 {d}nanše\erg sirara₃{ki}-ta igi zid\abs mu-ši-bar-ra-a\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs 3(diš) šar₂-gal šeg₁₂ alurₓ(BAHAR₂)-ra 3(gešʾu) 4(u) gur-saŋ-ŋal₂ esir₂\l1 en-mete-na-ke₄ {d}nin-ŋir₂-su₂-ra mu-na-ni-du₃ x {d}nin-ŋir₂-su₂-ka\abs ŠAG₄ x mu-na-dim₂ ama-gi₄ lagaš{ki}\gen\abs e-da-ŋar ama dumu\l2 mu-ni-gi₄ dumu ama\l2 mu-ni-gi₄ x{ki} x mu-ni-gi₄ ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs gu₂-eden-na-ka\l1 mu-na-ni-du₃ en-mete-na-ka mu dug₃-ga-ni\term {d}nin-ŋir₂-su₂-ke₄ da-ri₂-še₃ ŋeštug₂\abs na-gub en-mete-na x x x {d}nin-ŋir₂-su₂-ka-ke₄ lugal ki\abs an-na-aŋ₂-ŋa₂-ni {d}nin-ŋir₂-su₂-ra ŋeš-keš₂-ra₂ lum-ma-gin₇-dug₃\gen\abs mu-na-du₃ {d}nin-ŋir₂-su₂\abs x NA x mu\term mu-na-še₂₁ en-mete-na ŋeš-keš₂-ra₂ du₃-a {d}nin-ŋir₂-su₂-ka-ka\gen\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆ ud-ba du-du\abs saŋŋa {d}nin-ŋir₂-su₂-ka-kam,{d}nin-ŋir₂-su₂-ka-ke₄
